feature,importance
recommendation_rate,0.10148374273956332
avg_rating,0.09105783660864132
budget_match_score,0.08289506846192618
project_complexity,0.07650776475360596
completion_rate,0.07210358745648303
skill_match_score,0.06767000223991655
delivery_time_days,0.06351288817851128
category_experience,0.06230505167195855
response_time_hours,0.05972679210687503
bid_success_rate,0.05717844008885309
portfolio_quality,0.055174641132847445
past_collaboration,0.05275568308563921
freelancer_tenure_days,0.05199439386098014
workload_factor,0.04933915569505318
mentorship_program_completed,0.031276370511577806
skills_count_match,0.024333843407081193
client_history_score,0.0006847380004867947
